no,dir,green,x,y,xx,yy
1,n,0.118301392,163.3756477,102.360857,178.3756477,102.360857
1,s,0.095621745,163.3756477,102.360857,148.3756477,102.360857
2,n,0.114318848,159.5455959,124.7668212,174.5455959,124.7668212
2,s,0.074610392,159.5455959,124.7668212,144.5455959,124.7668212
3,n,0.200617472,147.3373057,179.3406841,162.3373057,179.3406841
3,s,0.09749349,147.3373057,179.3406841,132.3373057,179.3406841
4,n,0.221974691,143.7466321,201.0028818,158.7466321,201.0028818
4,s,0.15365092,143.7466321,201.0028818,128.7466321,201.0028818
5,n,0.221974691,143.7466321,201.0028818,158.7466321,201.0028818
5,s,0.15365092,143.7466321,201.0028818,128.7466321,201.0028818
6,n,0.131739299,123.6388601,245.907781,138.6388601,245.907781
6,s,0.104426066,123.6388601,245.907781,108.6388601,245.907781
7,n,0.105300903,110.7124352,271.1028693,125.7124352,271.1028693
7,s,0.152048747,110.7124352,271.1028693,95.7124352,271.1028693
8,n,0.100484212,104.3689119,299.7378775,119.3689119,299.7378775
8,s,0.202234904,104.3689119,299.7378775,89.3689119,299.7378775
9,n,0.1050059,103.5310881,324.7470242,118.5310881,324.7470242
9,s,0.20811971,103.5310881,324.7470242,88.5310881,324.7470242
10,n,0.127894084,98.26476684,349.1983461,113.2647668,349.1983461
10,s,0.198745728,98.26476684,349.1983461,83.26476684,349.1983461
11,n,0.137512207,94.43471503,370.6746022,109.434715,370.6746022
11,s,0.169158936,94.43471503,370.6746022,79.43471503,370.6746022
12,n,0.187723796,89.64715026,398.3799023,104.6471503,398.3799023
12,s,0.241053263,89.64715026,398.3799023,74.64715026,398.3799023
13,n,0.125661214,61.04145078,589.4349079,76.04145078,589.4349079
13,s,0.364359538,61.04145078,589.4349079,46.04145078,589.4349079
14,n,0.126286825,57.69015544,606.0766821,72.69015544,606.0766821
14,s,0.306894938,57.69015544,606.0766821,42.69015544,606.0766821
15,n,0.083821615,51.58601036,643.2650044,66.58601036,643.2650044
15,s,0.183842977,51.58601036,643.2650044,36.58601036,643.2650044
16,n,0.096928914,46.67875648,663.4396692,61.67875648,663.4396692
16,s,0.181228638,46.67875648,663.4396692,31.67875648,663.4396692
17,n,0.063827515,44.88341969,680.6392683,59.88341969,680.6392683
17,s,0.205744425,44.88341969,680.6392683,29.88341969,680.6392683
18,n,0.113245646,39.73678756,715.224408,54.73678756,715.224408
18,s,0.199467977,39.73678756,715.224408,24.73678756,715.224408
19,n,0.153722127,30.87979275,765.0567598,45.87979275,765.0567598
19,s,0.23890686,30.87979275,765.0567598,15.87979275,765.0567598
20,n,0.225819906,22.5015544,811.9140459,37.5015544,811.9140459
20,s,0.159098307,22.5015544,811.9140459,7.5015544,811.9140459
21,n,0.184575399,17.71398964,842.8733241,32.71398964,842.8733241
21,s,0.141245524,17.71398964,842.8733241,2.71398964,842.8733241
22,e,0.217066447,42.48963731,951.8351084,42.48963731,936.8351084
22,w,0.220453898,42.48963731,951.8351084,42.48963731,966.8351084
23,e,0.211552938,110.5927461,1010.313745,110.5927461,995.313745
23,w,0.234471639,110.5927461,1010.313745,110.5927461,1025.313745
24,e,0.255411784,125.553886,1017.007643,125.553886,1002.007643
24,w,0.181564331,125.553886,1017.007643,125.553886,1032.007643
25,e,0.269734701,142.7891192,1028.814935,142.7891192,1013.814935
25,w,0.163864136,142.7891192,1028.814935,142.7891192,1043.814935
26,e,0.319915771,167.0860104,1040.250345,167.0860104,1025.250345
26,w,0.126958211,167.0860104,1040.250345,167.0860104,1055.250345
27,e,0.294698079,262.3585492,1108.583887,262.3585492,1093.583887
27,w,0.200724284,262.3585492,1108.583887,262.3585492,1123.583887
28,e,0.28789266,289.7673575,1123.552186,289.7673575,1108.552186
28,w,0.176839193,289.7673575,1123.552186,289.7673575,1138.552186
29,e,0.244847616,315.1414508,1156.463852,315.1414508,1141.463852
29,w,0.116358439,315.1414508,1156.463852,315.1414508,1171.463852
30,e,0.334030151,339.438342,1187.516101,339.438342,1172.516101
30,w,0.193522135,339.438342,1187.516101,339.438342,1202.516101
31,e,0.198242188,353.0829016,1210.47989,353.0829016,1195.47989
31,w,0.301086426,353.0829016,1210.47989,353.0829016,1225.47989
32,e,0.247421265,389.5880829,1242.182934,389.5880829,1227.182934
32,w,0.185902913,389.5880829,1242.182934,389.5880829,1257.182934
33,e,0.204752604,414.1243523,1270.074176,414.1243523,1255.074176
33,w,0.162353516,414.1243523,1270.074176,414.1243523,1285.074176
34,e,0.148539225,442.7300518,1294.525498,442.7300518,1279.525498
34,w,0.17078654,442.7300518,1294.525498,442.7300518,1309.525498
35,e,0.219787598,474.2082902,1304.752287,474.2082902,1289.752287
35,w,0.182774862,474.2082902,1304.752287,474.2082902,1319.752287
36,e,0.32144165,498.7445596,1305.774966,498.7445596,1290.774966
36,w,0.234125773,498.7445596,1305.774966,498.7445596,1320.774966
37,e,0.165313721,524.1186528,1305.031199,524.1186528,1290.031199
37,w,0.196289063,524.1186528,1305.031199,524.1186528,1320.031199
38,e,0.158213298,548.6549223,1306.983586,548.6549223,1291.983586
38,w,0.16939799,548.6549223,1306.983586,548.6549223,1321.983586
39,e,0.190775553,566.8476684,1310.702418,566.8476684,1295.702418
39,w,0.195658366,566.8476684,1310.702418,566.8476684,1325.702418
40,e,0.139561971,595.6927461,1318.883849,595.6927461,1303.883849
40,w,0.21673584,595.6927461,1318.883849,595.6927461,1333.883849
41,e,0.147964478,623.1015544,1327.623105,623.1015544,1312.623105
41,w,0.243703206,623.1015544,1327.623105,623.1015544,1342.623105
42,e,0.105733236,641.8927461,1334.502944,641.8927461,1319.502944
42,w,0.136647542,641.8927461,1334.502944,641.8927461,1349.502944
43,e,0.192891439,665.2321244,1340.267134,665.2321244,1325.267134
43,w,0.267985026,665.2321244,1340.267134,665.2321244,1355.267134
44,e,0.196848551,692.042487,1346.031324,692.042487,1331.031324
44,w,0.294001261,692.042487,1346.031324,692.042487,1361.031324
45,e,0.228515625,717.8953368,1314.607192,717.8953368,1299.607192
45,w,0.199539185,717.8953368,1314.607192,717.8953368,1329.607192
46,n,0.134933472,726.0341969,1269.981205,741.0341969,1269.981205
46,s,0.209498088,726.0341969,1269.981205,711.0341969,1269.981205
47,n,0.096822103,737.165285,1207.411853,752.165285,1207.411853
47,s,0.157450358,737.165285,1207.411853,722.165285,1207.411853
48,n,0.177256266,746.7404145,1147.0738,761.7404145,1147.0738
48,s,0.151026408,746.7404145,1147.0738,731.7404145,1147.0738
49,n,0.192179362,755.1186528,1095.196091,770.1186528,1095.196091
49,s,0.177866618,755.1186528,1095.196091,740.1186528,1095.196091
50,n,0.287384033,774.388601,979.7263501,789.388601,979.7263501
50,s,0.25487264,774.388601,979.7263501,759.388601,979.7263501
51,n,0.287384033,774.388601,979.7263501,789.388601,979.7263501
51,s,0.25487264,774.388601,979.7263501,759.388601,979.7263501
52,n,0.31203715,788.2725389,911.3928079,803.2725389,911.3928079
52,s,0.047836304,788.2725389,911.3928079,773.2725389,911.3928079
53,n,0.273885091,790.3072539,884.4312743,805.3072539,884.4312743
53,s,0.089457194,790.3072539,884.4312743,775.3072539,884.4312743
54,n,0.21905009,794.3766839,854.7735873,809.3766839,854.7735873
54,s,0.055664063,794.3766839,854.7735873,779.3766839,854.7735873
55,n,0.236282349,798.9248705,819.3517103,813.9248705,819.3517103
55,s,0.046183268,798.9248705,819.3517103,783.9248705,819.3517103
56,n,0.132105509,806.2259067,773.4241323,821.2259067,773.4241323
56,s,0.057647705,806.2259067,773.4241323,791.2259067,773.4241323
57,n,0.187957764,811.8512953,737.7233429,826.8512953,737.7233429
57,s,0.031778971,811.8512953,737.7233429,796.8512953,737.7233429
58,n,0.055124919,815.2025907,720.2448315,830.2025907,720.2448315
58,s,0.065348307,815.2025907,720.2448315,800.2025907,720.2448315
59,n,0.102503459,819.511399,699.0474878,834.511399,699.0474878
59,s,0.032786051,819.511399,699.0474878,804.511399,699.0474878
60,n,0.074483236,822.0248705,677.8501441,837.0248705,677.8501441
60,s,0.028152466,822.0248705,677.8501441,807.0248705,677.8501441
61,n,0.10025533,827.2911917,656.9317128,842.2911917,656.9317128
61,s,0.036382039,827.2911917,656.9317128,812.2911917,656.9317128
62,n,0.088831584,831.1212435,629.7842376,846.1212435,629.7842376
62,s,0.041173299,831.1212435,629.7842376,816.1212435,629.7842376
63,n,0.075429281,834.1134715,610.0744268,849.1134715,610.0744268
63,s,0.028015137,834.1134715,610.0744268,819.1134715,610.0744268
64,n,0.124282837,837.7041451,586.6457837,852.7041451,586.6457837
64,s,0.031051636,837.7041451,586.6457837,822.7041451,586.6457837
65,n,0.248291016,846.0823834,532.2578624,861.0823834,532.2578624
65,s,0.035425822,846.0823834,532.2578624,831.0823834,532.2578624
66,n,0.248291016,846.0823834,532.2578624,861.0823834,532.2578624
66,s,0.035425822,846.0823834,532.2578624,831.0823834,532.2578624
67,n,0.17926534,856.4953368,474.4300213,871.4953368,474.4300213
67,s,0.134480794,856.4953368,474.4300213,841.4953368,474.4300213
68,n,0.141682943,863.3176166,436.776845,878.3176166,436.776845
68,s,0.091369629,863.3176166,436.776845,848.3176166,436.776845
69,n,0.057622274,869.9005181,396.613457,884.9005181,396.613457
69,s,0.115493774,869.9005181,396.613457,854.9005181,396.613457
70,n,0.06165568,878.5181347,346.2232803,893.5181347,346.2232803
70,s,0.067382813,878.5181347,346.2232803,863.5181347,346.2232803
71,n,0.057281494,890.1279793,272.8693146,905.1279793,272.8693146
71,s,0.069513957,890.1279793,272.8693146,875.1279793,272.8693146
72,n,0.26028951,900.7803109,210.485904,915.7803109,210.485904
72,s,0.047108968,900.7803109,210.485904,885.7803109,210.485904
73,n,0.207356771,906.4056995,172.5538153,921.4056995,172.5538153
73,s,0.121231079,906.4056995,172.5538153,891.4056995,172.5538153
74,n,0.223571777,914.7839378,123.6511715,929.7839378,123.6511715
74,s,0.089625041,914.7839378,123.6511715,899.7839378,123.6511715
75,e,0.30792745,888.2129534,89.99573988,888.2129534,74.99573988
75,w,0.145121257,888.2129534,89.99573988,888.2129534,104.9957399
76,e,0.254389445,848.4761658,75.12041098,848.4761658,60.12041098
76,w,0.061726888,848.4761658,75.12041098,848.4761658,90.12041098
77,e,0.174992879,813.526943,64.61470994,813.526943,49.61470994
77,w,0.120925903,813.526943,64.61470994,813.526943,79.61470994
78,e,0.246688843,786.5968912,72.33128681,786.5968912,57.33128681
78,w,0.07707723,786.5968912,72.33128681,786.5968912,87.33128681
79,e,0.208109538,754.4005181,88.04335296,754.4005181,73.04335296
79,w,0.130315145,754.4005181,88.04335296,754.4005181,103.043353
80,e,0.215357463,723.2813472,101.5241198,723.2813472,86.5241198
80,w,0.138727824,723.2813472,101.5241198,723.2813472,116.5241198
81,e,0.287038167,678.3979275,106.2656309,678.3979275,91.2656309
81,w,0.269348145,678.3979275,106.2656309,678.3979275,121.2656309
82,e,0.172241211,623.7,101.8030322,623.7,86.8030322
82,w,0.167872111,623.7,101.8030322,623.7,116.8030322
83,e,0.250493368,575.8243523,98.549054,575.8243523,83.549054
83,w,0.099828084,575.8243523,98.549054,575.8243523,113.549054
84,e,0.285837809,524.3580311,94.27239694,524.3580311,79.27239694
84,w,0.112340291,524.3580311,94.27239694,524.3580311,109.2723969
85,e,0.205830892,463.5559585,89.06603183,463.5559585,74.06603183
85,w,0.144749959,463.5559585,89.06603183,463.5559585,104.0660318
86,e,0.248296102,411.1321244,84.78937477,411.1321244,69.78937477
86,w,0.163864136,411.1321244,84.78937477,411.1321244,99.78937477
87,e,0.240427653,349.0134715,77.0727979,349.0134715,62.0727979
87,w,0.14902242,349.0134715,77.0727979,349.0134715,92.0727979
88,e,0.296554565,304.1300518,73.35396567,304.1300518,58.35396567
88,w,0.157984416,304.1300518,73.35396567,304.1300518,88.35396567
89,e,0.120702108,249.4321244,68.61245458,249.4321244,53.61245458
89,w,0.079854329,249.4321244,68.61245458,249.4321244,83.61245458
90,e,0.254659017,205.0274611,63.59203107,205.0274611,48.59203107
90,w,0.123321533,205.0274611,63.59203107,205.0274611,78.59203107
91,n,0.183741252,226.8108808,1033.370505,241.8108808,1033.370505
91,s,0.181081136,226.8108808,1033.370505,211.8108808,1033.370505
92,e,0.196350098,212.0891192,951.556196,212.0891192,936.556196
92,w,0.335418701,212.0891192,951.556196,212.0891192,966.556196
93,e,0.198354085,156.673057,846.778098,156.673057,831.778098
93,w,0.125823975,156.673057,846.778098,156.673057,861.778098
94,e,0.125203451,279.9528497,748.6009272,279.9528497,733.6009272
94,w,0.12840271,279.9528497,748.6009272,279.9528497,763.6009272
95,n,0.108016968,273.8487047,625.9724345,288.8487047,625.9724345
95,s,0.279764811,273.8487047,625.9724345,258.8487047,625.9724345
96,e,0.185724894,385.1595855,777.6078186,385.1595855,762.6078186
96,w,0.107259115,385.1595855,777.6078186,385.1595855,792.6078186
97,n,0.284484863,462.957513,777.3289062,477.957513,777.3289062
97,s,0.263300578,462.957513,777.3289062,447.957513,777.3289062
98,n,0.061757406,461.2818653,700.8139331,476.2818653,700.8139331
98,s,0.042633057,461.2818653,700.8139331,446.2818653,700.8139331
99,n,0.229619344,480.3124352,853.3790252,495.3124352,853.3790252
99,s,0.153193156,480.3124352,853.3790252,465.3124352,853.3790252
100,n,0.153065999,422.9813471,918.3656183,437.9813471,918.3656183
100,s,0.166051229,422.9813471,918.3656183,407.9813471,918.3656183
101,n,0.169733683,395.0937824,1002.132314,410.0937824,1002.132314
101,s,0.235275269,395.0937824,1002.132314,380.0937824,1002.132314
102,n,0.241917928,354.9979275,1164.180429,369.9979275,1164.180429
102,s,0.153498332,354.9979275,1164.180429,339.9979275,1164.180429
103,e,0.179214478,397.2481865,1138.892369,397.2481865,1123.892369
103,w,0.176778158,397.2481865,1138.892369,397.2481865,1153.892369
104,e,0.103612264,447.6373057,1146.887859,447.6373057,1131.887859
104,w,0.161092122,447.6373057,1146.887859,447.6373057,1161.887859
105,n,0.087753296,450.3901554,1106.445558,465.3901554,1106.445558
105,s,0.217173258,450.3901554,1106.445558,435.3901554,1106.445558
106,e,0.135075887,492.7601036,1149.3051,492.7601036,1134.3051
106,w,0.058598836,492.7601036,1149.3051,492.7601036,1164.3051
107,n,0.174072266,512.7481865,1203.693021,527.7481865,1203.693021
107,s,0.190129598,512.7481865,1203.693021,497.7481865,1203.693021
108,n,0.174072266,512.7481865,1203.693021,527.7481865,1203.693021
108,s,0.190129598,512.7481865,1203.693021,497.7481865,1203.693021
109,n,0.085927327,530.2227979,1127.363989,545.2227979,1127.363989
109,s,0.282460531,530.2227979,1127.363989,515.2227979,1127.363989
110,n,0.175994873,610.653886,809.5897757,625.653886,809.5897757
110,s,0.274012248,610.653886,809.5897757,595.653886,809.5897757
111,n,0.249094645,622.6227979,778.9094098,637.6227979,778.9094098
111,s,0.105316162,622.6227979,778.9094098,607.6227979,778.9094098
112,e,0.155604045,643.9274611,765.428643,643.9274611,750.428643
112,w,0.19565328,643.9274611,765.428643,643.9274611,780.428643
113,e,0.110473633,673.8497409,771.0068914,673.8497409,756.0068914
113,w,0.08748881,673.8497409,771.0068914,673.8497409,786.0068914
114,e,0.212122599,698.1466321,775.004636,698.1466321,760.004636
114,w,0.058792114,698.1466321,775.004636,698.1466321,790.004636
115,e,0.25213623,732.8564767,780.0250595,732.8564767,765.0250595
115,w,0.113683065,732.8564767,780.0250595,732.8564767,795.0250595
116,e,0.207021077,751.6476684,783.7438917,751.6476684,768.7438917
116,w,0.105997721,751.6476684,783.7438917,751.6476684,798.7438917
117,e,0.18027242,778.4580311,786.7189575,778.4580311,771.7189575
117,w,0.14386495,778.4580311,786.7189575,778.4580311,801.7189575
118,n,0.27003479,642.1321244,146.2430773,657.1321244,146.2430773
118,s,0.101593018,642.1321244,146.2430773,627.1321244,146.2430773
119,n,0.215342204,624.8968912,207.9756923,639.8968912,207.9756923
119,s,0.14159139,624.8968912,207.9756923,609.8968912,207.9756923
120,n,0.229654948,594.9746114,278.2616214,609.9746114,278.2616214
120,s,0.253097534,594.9746114,278.2616214,579.9746114,278.2616214
121,n,0.293604533,584.3222798,330.6041849,599.3222798,330.6041849
121,s,0.254435221,584.3222798,330.6041849,569.3222798,330.6041849
122,e,0.27990214,625.3756477,359.0532515,625.3756477,344.0532515
122,w,0.183598836,625.3756477,359.0532515,625.3756477,374.0532515
123,n,0.273061117,650.2709845,422.3663701,665.2709845,422.3663701
123,s,0.071751912,650.2709845,422.3663701,635.2709845,422.3663701
124,n,0.125055949,611.0129534,503.6228543,626.0129534,503.6228543
124,s,0.190750122,611.0129534,503.6228543,596.0129534,503.6228543
125,e,0.198974609,612.688601,565.44844,612.688601,550.44844
125,w,0.301457723,612.688601,565.44844,612.688601,580.44844
126,e,0.215148926,395.0937824,137.1319384,395.0937824,122.1319384
126,w,0.227305094,395.0937824,137.1319384,395.0937824,152.1319384
127,e,0.38999939,433.1549223,161.676231,433.1549223,146.676231
127,w,0.269719442,433.1549223,161.676231,433.1549223,176.676231
128,e,0.38999939,433.1549223,161.676231,433.1549223,146.676231
128,w,0.269719442,433.1549223,161.676231,433.1549223,176.676231
129,e,0.248174032,522.3233161,169.6717203,522.3233161,154.6717203
129,w,0.297210693,522.3233161,169.6717203,522.3233161,184.6717203
130,e,0.24134318,562.0601036,149.9619095,562.0601036,134.9619095
130,w,0.313329061,562.0601036,149.9619095,562.0601036,164.9619095
131,n,0.265940348,428.7264249,230.102744,443.7264249,230.102744
131,s,0.115865072,428.7264249,230.102744,413.7264249,230.102744
132,n,0.133539836,441.4134715,229.173036,456.4134715,229.173036
132,s,0.187667847,441.4134715,229.173036,426.4134715,229.173036
133,e,0.144917806,178.4564767,212.2523493,178.4564767,197.2523493
133,w,0.109888713,178.4564767,212.2523493,178.4564767,227.2523493
134,e,0.185801188,217.953886,213.7398822,217.953886,198.7398822
134,w,0.099456787,217.953886,213.7398822,217.953886,228.7398822
135,e,0.121607463,271.6943005,226.1979702,271.6943005,211.1979702
135,w,0.118789673,271.6943005,226.1979702,271.6943005,241.1979702
136,e,0.18598938,309.1569948,229.7308608,309.1569948,214.7308608
136,w,0.103790283,309.1569948,229.7308608,309.1569948,244.7308608
137,n,0.177047729,333.6932642,208.2546047,348.6932642,208.2546047
137,s,0.262481689,333.6932642,208.2546047,318.6932642,208.2546047
138,e,0.19148763,326.392228,289.5110888,326.392228,274.5110888
138,w,0.170883179,326.392228,289.5110888,326.392228,304.5110888
139,e,0.124704997,365.4108808,296.7628117,365.4108808,281.7628117
139,w,0.118398031,365.4108808,296.7628117,365.4108808,311.7628117
140,n,0.169509888,361.8202073,344.7357474,376.8202073,344.7357474
140,s,0.166890462,361.8202073,344.7357474,346.8202073,344.7357474
141,n,0.194793701,276.3621762,375.6950257,291.3621762,375.6950257
141,s,0.073974609,276.3621762,375.6950257,261.3621762,375.6950257
142,e,0.211156209,315.1414508,354.032828,315.1414508,339.032828
142,w,0.182729085,315.1414508,354.032828,315.1414508,369.032828
143,e,0.105682373,295.3927461,411.8606691,295.3927461,396.8606691
143,w,0.160359701,295.3927461,411.8606691,295.3927461,426.8606691
144,n,0.182510376,336.2067358,391.4070918,351.2067358,391.4070918
144,s,0.240020752,336.2067358,391.4070918,321.2067358,391.4070918
145,e,0.208028158,300.1803109,448.4911665,300.1803109,433.4911665
145,w,0.172770182,300.1803109,448.4911665,300.1803109,463.4911665
146,e,0.189142863,256.3740933,467.9220649,256.3740933,452.9220649
146,w,0.091567993,256.3740933,467.9220649,256.3740933,482.9220649
147,e,0.127894084,198.8036269,462.157875,198.8036269,447.157875
147,w,0.177769979,198.8036269,462.157875,198.8036269,477.157875